File,Sketch,Time-naive,Size-naive
f:01-nw:100-ml:14-0.trace,?u1(!(p)),6.13,3
f:08-nw:050-ml:10-0.trace,"->(?1,U(p,q))",900,
f:02-nw:010-ml:06-0.trace,"->(?1,U(!(p),q))",900,
f:05-nw:400-ml:06-0.trace,"|(?1,F(&(p,F(q))))",900,
f:07-nw:010-ml:14-0.trace,G(?1),900,
f:04-nw:100-ml:06-0.trace,?u1(p),1.84,2
f:02-nw:100-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",13.12,6
f:03-nw:400-ml:10-0.trace,"G(->(q,?1))",900,
f:04-nw:010-ml:10-0.trace,F(?1),900,
f:07-nw:025-ml:10-0.trace,G(?1),900,
f:05-nw:200-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",59.87,8
f:01-nw:050-ml:10-0.trace,?u1(!(p)),1.88,3
f:08-nw:100-ml:14-0.trace,"->(?1,U(p,q))",900,
f:09-nw:400-ml:14-0.trace,"?u1(->(q,?u1(p)))",47.13,5
f:08-nw:025-ml:06-0.trace,"?b1(F(q),?b2(p,q))",1.41,5
f:09-nw:200-ml:06-0.trace,"G(->(q,?1))",580.21,6
f:07-nw:050-ml:06-0.trace,?u1(p),0.89,2
f:02-nw:050-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",13.17,6
f:02-nw:200-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",26.36,6
f:05-nw:025-ml:06-0.trace,"|(?1,F(&(p,F(q))))",18.11,7
f:03-nw:010-ml:14-0.trace,"G(->(q,?1))",437.66,7
f:01-nw:400-ml:06-0.trace,G(!(?1)),900,
f:06-nw:010-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:05-nw:100-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",31.85,8
f:04-nw:400-ml:14-0.trace,F(?1),900,
f:07-nw:400-ml:10-0.trace,G(?1),900,
f:06-nw:100-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",14.76,9
f:01-nw:200-ml:14-0.trace,?u1(!(p)),13.16,3
f:03-nw:025-ml:10-0.trace,"G(->(q,?1))",900,
f:04-nw:200-ml:06-0.trace,?u1(p),3.56,2
