File name,Algo type,Original Formula,Sketch,Total time,Completed sketch,Final size,Verified
f:04-nw:025-ml:06-0.trace,tree-suf,F(p),?u1(p),0.34,F(p),2,TRUE
f:03-nw:010-ml:14-0.trace,tree-suf,"G(->(q,G(!(p))))","G(->(q,?1))",2.56,"G(->(q,!(p)))",4,TRUE
f:01-nw:025-ml:14-0.trace,tree-suf,G(!(p)),?u1(!(p)),1.53,G(!(p)),3,TRUE
f:01-nw:400-ml:06-0.trace,tree-suf,G(!(p)),G(!(?1)),14.18,G(!(p)),3,TRUE
f:08-nw:010-ml:10-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","->(?1,U(p,q))",1.27,"->(F(q),U(p,q))",5,TRUE
f:09-nw:400-ml:10-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",170.88,"G(->(q,G(p)))",4,TRUE
f:03-nw:050-ml:10-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",6.49,"G(->(q,G(!(p))))",6,TRUE
f:03-nw:025-ml:10-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",2.93,"G(->(q,G(!(p))))",6,TRUE
f:09-nw:200-ml:06-0.trace,tree-suf,"G(->(q,G(p)))","G(->(q,?1))",17.80,"G(->(q,G(p)))",4,TRUE
f:08-nw:100-ml:10-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",17.72,"->(F(q),U(p,q))",6,TRUE
f:06-nw:200-ml:14-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",104.52,"G(&(p,->(!(q),U(!(q),p))))",10,TRUE
f:08-nw:200-ml:06-0.trace,tree-suf,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",21.71,"->(F(q),U(p,q))",6,TRUE
f:02-nw:100-ml:10-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",17.51,"->(F(q),U(!(p),q))",6,TRUE
f:03-nw:400-ml:10-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",172.92,"G(->(q,G(!(p))))",6,TRUE
f:09-nw:050-ml:10-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",3.39,"G(->(q,p))",4,TRUE
f:09-nw:025-ml:10-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",1.23,"G(->(q,p))",4,TRUE
f:01-nw:100-ml:06-0.trace,tree-suf-bmc,G(!(p)),?u1(!(p)),1.56,G(!(p)),3,TRUE
f:08-nw:100-ml:14-0.trace,tree-suf,"->(F(q),U(p,q))","->(?1,U(p,q))",53.18,"->(F(q),U(p,q))",5,TRUE
f:09-nw:100-ml:14-0.trace,tree-suf,"G(->(q,G(p)))","?u1(->(q,?u1(p)))",39.23,"G(->(q,G(p)))",5,TRUE
f:06-nw:400-ml:14-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",359.66,"G(&(p,->(!(q),U(!(q),r))))",10,TRUE
f:04-nw:010-ml:10-0.trace,tree-suf,F(p),F(?1),0.17,F(p),2,TRUE
f:06-nw:025-ml:10-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",7.21,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:03-nw:400-ml:10-0.trace,tree-suf,"G(->(q,G(!(p))))","G(->(q,?1))",277.79,"G(->(q,!(F(p))))",4,TRUE
f:02-nw:400-ml:10-0.trace,tree-suf,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",165.78,"->(F(q),U(!(p),q))",7,TRUE
f:05-nw:010-ml:10-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",2.59,"U(G(!(p)),F(&(p,F(q))))",9,TRUE
f:09-nw:200-ml:10-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",48.58,"G(->(q,G(p)))",4,TRUE
f:07-nw:025-ml:10-0.trace,tree-suf,G(p),G(?1),0.39,G(p),2,TRUE
f:07-nw:100-ml:14-0.trace,tree-suf-bmc,G(p),?u1(p),7.97,G(p),2,TRUE
f:05-nw:010-ml:10-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",1.45,"|(G(!(p)),F(&(p,F(q))))",9,TRUE
f:06-nw:010-ml:06-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",0.56,"G(&(p,->(!(q),U(!(q),p))))",10,TRUE
f:03-nw:200-ml:10-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",50.18,"G(->(q,G(!(p))))",6,TRUE
f:06-nw:025-ml:14-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",4.34,"G(&(p,->(!(q),U(!(q),p))))",10,TRUE
f:06-nw:050-ml:14-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",10.55,"G(&(p,->(!(q),U(!(q),p))))",10,TRUE
f:01-nw:025-ml:06-0.trace,tree-suf,G(!(p)),G(!(?1)),0.21,G(!(p)),3,TRUE
f:01-nw:400-ml:14-0.trace,tree-suf,G(!(p)),?u1(!(p)),104.48,G(!(p)),3,TRUE
f:09-nw:050-ml:10-0.trace,tree-suf,"G(->(q,G(p)))","?u1(->(q,?u1(p)))",7.83,"G(->(q,G(p)))",5,TRUE
f:03-nw:010-ml:06-0.trace,tree-suf,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",0.78,"G(->(q,G(!(p))))",6,TRUE
f:04-nw:400-ml:06-0.trace,tree-suf,F(p),?u1(p),16.63,F(p),2,TRUE
f:04-nw:025-ml:14-0.trace,tree-suf,F(p),F(?1),0.79,F(p),2,TRUE
f:06-nw:010-ml:14-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",5.58,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:05-nw:400-ml:06-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",88.44,"|(!(F(p)),F(&(p,F(q))))",7,TRUE
f:05-nw:025-ml:14-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",14.58,"U(G(!(p)),F(&(p,F(q))))",9,TRUE
f:07-nw:010-ml:14-0.trace,tree-suf,G(p),G(?1),0.35,G(p),2,TRUE
f:02-nw:010-ml:06-0.trace,tree-suf,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",0.78,"->(F(q),U(!(p),q))",6,TRUE
f:08-nw:050-ml:10-0.trace,tree-suf,"->(F(q),U(p,q))","->(?1,U(p,q))",10.62,"->(F(q),U(p,q))",5,TRUE
f:01-nw:200-ml:14-0.trace,tree-suf-bmc,G(!(p)),G(!(?1)),24.76,G(!(p)),3,TRUE
f:07-nw:025-ml:06-0.trace,tree-suf-bmc,G(p),G(?1),0.16,G(p),2,TRUE
f:07-nw:050-ml:06-0.trace,tree-suf-bmc,G(p),G(?1),0.38,G(p),2,TRUE
f:04-nw:050-ml:10-0.trace,tree-suf-bmc,F(p),?u1(p),1.37,F(p),2,TRUE
f:04-nw:025-ml:10-0.trace,tree-suf-bmc,F(p),?u1(p),0.66,F(p),2,TRUE
f:08-nw:200-ml:14-0.trace,tree-suf,"->(F(q),U(p,q))","->(?1,U(p,q))",150.65,"->(F(q),U(p,q))",5,TRUE
f:09-nw:200-ml:14-0.trace,tree-suf,"G(->(q,G(p)))","?u1(->(q,?u1(p)))",107.36,"G(->(q,G(p)))",5,TRUE
f:09-nw:100-ml:06-0.trace,tree-suf,"G(->(q,G(p)))","G(->(q,?1))",6.51,"G(->(q,G(p)))",4,TRUE
