File,Sketch,Time-tree_suf,Size-tree_suf
f:01-nw:100-ml:06-0.trace,?u1(!(p)),1.66,3
f:02-nw:200-ml:10-0.trace,"->(?1,U(!(p),q))",67.39,6
f:04-nw:100-ml:14-0.trace,?u1(p),9.18,2
f:05-nw:100-ml:14-0.trace,"|(?1,F(&(p,F(q))))",45.21,7
f:03-nw:200-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",55.06,6
f:06-nw:100-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",21.88,10
f:05-nw:200-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",23.55,9
f:04-nw:200-ml:06-0.trace,F(?1),4.20,2
f:01-nw:200-ml:14-0.trace,G(!(?1)),25.63,3
f:07-nw:100-ml:10-0.trace,?u1(p),3.97,2
f:04-nw:400-ml:10-0.trace,F(?1),43.84,2
f:01-nw:025-ml:10-0.trace,?u1(!(p)),0.80,3
f:09-nw:050-ml:06-0.trace,"G(->(q,?1))",2.68,4
f:03-nw:010-ml:10-0.trace,"G(->(q,?1))",1.86,4
f:02-nw:010-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",2.38,7
f:08-nw:050-ml:06-0.trace,"?b1(F(q),?b2(p,q))",3.58,6
f:05-nw:400-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",201.47,9
f:01-nw:010-ml:14-0.trace,?u1(!(p)),0.63,3
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",54.24,6
f:03-nw:025-ml:14-0.trace,"G(->(q,?1))",22.91,4
f:04-nw:010-ml:06-0.trace,?u1(p),0.18,2
f:06-nw:025-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.53,10
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",401.42,13
f:05-nw:010-ml:06-0.trace,"|(?1,F(&(p,F(q))))",0.86,7
f:07-nw:025-ml:06-0.trace,?u1(p),0.28,2
f:07-nw:400-ml:14-0.trace,G(?1),93.98,2
f:02-nw:400-ml:06-0.trace,"->(?1,U(!(p),q))",51.18,6
f:02-nw:025-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",12.63,7
f:09-nw:100-ml:10-0.trace,"?u1(->(q,?u1(p)))",18.49,5
f:08-nw:100-ml:10-0.trace,"->(?1,U(p,q))",24.54,5
f:07-nw:010-ml:10-0.trace,G(?1),0.17,2
f:05-nw:025-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",7.19,9
f:08-nw:050-ml:14-0.trace,"->(?1,U(p,q))",21.73,5
f:09-nw:050-ml:14-0.trace,"?u1(->(q,?u1(p)))",14.39,5
f:01-nw:400-ml:10-0.trace,?u1(!(p)),49.98,3
f:06-nw:010-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",3.05,13
f:04-nw:025-ml:10-0.trace,F(?1),0.44,2
f:02-nw:400-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",385.29,7
f:02-nw:025-ml:06-0.trace,"->(?1,U(!(p),q))",1.86,6
f:07-nw:025-ml:14-0.trace,G(?1),0.82,2
f:07-nw:400-ml:06-0.trace,?u1(p),16.86,2
f:05-nw:010-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",5.10,9
f:06-nw:025-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",15.60,13
f:06-nw:400-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",77.18,10
f:04-nw:010-ml:14-0.trace,F(?1),0.29,2
f:03-nw:400-ml:14-0.trace,"G(->(q,?1))",590.65,4
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",1.43,6
f:01-nw:010-ml:06-0.trace,G(!(?1)),0.12,3
f:09-nw:200-ml:10-0.trace,"?u1(->(q,?u1(p)))",52.52,5
f:08-nw:200-ml:10-0.trace,"->(?1,U(p,q))",70.64,5
f:08-nw:010-ml:14-0.trace,"->(?1,U(p,q))",3.82,5
f:07-nw:050-ml:10-0.trace,G(?1),0.87,2
f:06-nw:050-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",14.90,13
f:09-nw:010-ml:14-0.trace,"?u1(->(q,?u1(p)))",2.45,5
f:05-nw:050-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",29.83,9
f:08-nw:025-ml:10-0.trace,"->(?1,U(p,q))",5.45,5
f:01-nw:050-ml:06-0.trace,G(!(?1)),0.43,3
f:09-nw:025-ml:10-0.trace,"?u1(->(q,?u1(p)))",3.38,5
f:04-nw:050-ml:14-0.trace,F(?1),2.23,2
f:02-nw:100-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",59.53,7
f:04-nw:200-ml:10-0.trace,F(?1),11.80,2
f:07-nw:100-ml:06-0.trace,?u1(p),1.61,2
f:06-nw:100-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",8.02,10
f:05-nw:200-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",74.55,9
f:03-nw:100-ml:14-0.trace,"G(->(q,?1))",109.17,4
f:03-nw:200-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",17.38,6
f:06-nw:200-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",185.31,13
f:01-nw:100-ml:10-0.trace,?u1(!(p)),4.48,3
f:07-nw:200-ml:14-0.trace,G(?1),24.62,2
f:02-nw:200-ml:06-0.trace,"->(?1,U(!(p),q))",21.11,6
f:09-nw:010-ml:06-0.trace,"G(->(q,?1))",0.22,4
f:03-nw:050-ml:10-0.trace,"G(->(q,?1))",22.31,4
f:02-nw:050-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",11.06,7
f:08-nw:010-ml:06-0.trace,"?b1(F(q),?b2(p,q))",0.88,6
f:04-nw:050-ml:06-0.trace,?u1(p),0.71,2
f:09-nw:400-ml:10-0.trace,"?u1(->(q,?u1(p)))",178.79,5
f:01-nw:050-ml:14-0.trace,?u1(!(p)),3.70,3
f:08-nw:400-ml:10-0.trace,"->(?1,U(p,q))",166.58,5
f:05-nw:050-ml:06-0.trace,"|(?1,F(&(p,F(q))))",3.71,7
f:03-nw:100-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",6.41,6
f:06-nw:100-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",78.56,13
f:07-nw:100-ml:14-0.trace,G(?1),6.94,2
f:01-nw:200-ml:10-0.trace,?u1(!(p)),13.90,3
f:02-nw:100-ml:06-0.trace,"->(?1,U(!(p),q))",7.41,6
f:04-nw:100-ml:10-0.trace,F(?1),3.06,2
f:02-nw:200-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",162.89,7
f:07-nw:200-ml:06-0.trace,?u1(p),4.86,2
f:06-nw:200-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",21.21,10
f:03-nw:200-ml:14-0.trace,"G(->(q,?1))",233.71,4
f:05-nw:100-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",28.59,9
f:09-nw:010-ml:14-0.trace,"G(->(q,?1))",0.84,4
f:06-nw:050-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",8.34,10
f:07-nw:050-ml:10-0.trace,?u1(p),1.40,2
f:08-nw:010-ml:14-0.trace,"?b1(F(q),?b2(p,q))",4.40,6
f:04-nw:050-ml:14-0.trace,?u1(p),3.53,2
f:01-nw:050-ml:06-0.trace,?u1(!(p)),0.65,3
f:09-nw:025-ml:10-0.trace,"G(->(q,?1))",1.40,4
f:08-nw:025-ml:10-0.trace,"?b1(F(q),?b2(p,q))",6.02,6
f:05-nw:050-ml:14-0.trace,"|(?1,F(&(p,F(q))))",19.10,7
f:03-nw:100-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",38.19,6
f:05-nw:200-ml:10-0.trace,"|(?1,F(&(p,F(q))))",59.07,7
f:06-nw:100-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",13.99,13
