File,Sketch,Time-naive,Size-naive,Time-tree,Size-tree,Time-tree_bmc,Size-tree_bmc,Time-tree_suf,Size-tree_suf,Time-tree_suf_bmc,Size-tree_suf_bmc
f:07-nw:400-ml:10-0.trace,?u1(p),13.68,2,12.34,2,10.16,2,43.59,2,44.41,2
f:03-nw:025-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",2.05,6,3.56,6,2.78,6,3.57,6,2.93,6
f:05-nw:025-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",2.01,8,3.17,9,2.29,9,2.56,9,1.83,9
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",1.27,6,2.15,6,1.56,6,2.10,6,1.50,6
f:01-nw:400-ml:06-0.trace,?u1(!(p)),7.62,3,7.3,3,6.54,3,15.86,3,15.04,3
f:06-nw:010-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",0.7,9,1.44,13,1.15,13,1.52,13,1.07,13
f:04-nw:400-ml:14-0.trace,?u1(p),21.74,2,20.59,2,14.23,2,105.83,2,97.93,2
f:09-nw:200-ml:06-0.trace,"?u1(->(q,?u1(p)))",7.88,5,12.91,5,10.94,5,17.44,5,15.76,5
f:08-nw:100-ml:14-0.trace,"?b1(F(q),?b2(p,q))",26.12,5,47.97,6,19.95,6,58.80,6,34.71,6
f:03-nw:400-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",30.58,6,56.92,6,44.71,6,179.05,6,172.92,6
f:04-nw:010-ml:10-0.trace,?u1(p),0.35,2,0.4,2,0.32,2,0.35,2,0.26,2
f:07-nw:025-ml:10-0.trace,?u1(p),0.89,2,0.95,2,0.71,2,0.70,2,0.62,2
f:04-nw:025-ml:14-0.trace,?u1(p),1.22,2,1.32,2,0.91,2,1.35,2,1.08,2
f:01-nw:025-ml:06-0.trace,?u1(!(p)),0.56,3,0.55,3,0.51,3,0.39,3,0.35,3
f:02-nw:010-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",0.6,6,0.88,7,0.72,7,0.72,7,0.56,7
f:08-nw:050-ml:10-0.trace,"?b1(F(q),?b2(p,q))",7.12,5,11.77,6,6.52,6,11.82,6,7.75,6
f:05-nw:400-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",28.99,8,43.92,9,33.24,9,66.56,9,57.29,9
f:07-nw:010-ml:14-0.trace,?u1(p),0.6,2,0.62,2,0.43,2,0.62,2,0.41,2
f:08-nw:200-ml:14-0.trace,"?b1(F(q),?b2(p,q))",51.25,5,95.64,6,37.67,6,163.70,6,111.67,6
f:09-nw:100-ml:06-0.trace,"?u1(->(q,?u1(p)))",3.76,5,5.96,5,5.23,5,5.98,5,5.22,5
f:01-nw:010-ml:10-0.trace,?u1(!(p)),0.4,3,0.42,3,0.35,3,0.35,3,0.29,3
f:06-nw:400-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",68.43,9,116.05,13,73.1,13,226.44,13,190.50,13
f:02-nw:025-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",3.27,6,5.84,7,3.62,7,5.78,7,3.54,7
f:04-nw:025-ml:06-0.trace,?u1(p),0.47,2,0.52,2,0.46,2,0.34,2,0.31,2
f:01-nw:025-ml:14-0.trace,?u1(!(p)),1.55,3,1.48,3,1.09,3,1.53,3,1.23,3
f:02-nw:010-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",2.86,6,4.61,7,1.99,7,5.11,7,2.15,7
f:07-nw:010-ml:06-0.trace,?u1(p),0.24,2,0.22,2,0.21,2,0.16,2,0.15,2
f:05-nw:400-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",123.74,8,226.28,9,93.22,9,452.35,9,372.02,9
f:08-nw:200-ml:06-0.trace,"?b1(F(q),?b2(p,q))",11.37,5,19.59,6,14.18,6,21.71,6,18.29,6
f:09-nw:100-ml:14-0.trace,"?u1(->(q,?u1(p)))",12.12,5,22.21,5,14.89,5,39.23,5,31.76,5
f:02-nw:400-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",53.19,6,83.47,7,46.69,7,165.78,7,135.59,7
f:05-nw:010-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",1.74,8,3.05,9,1.71,9,2.59,9,1.45,9
f:06-nw:025-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",3.69,9,7.41,13,4.34,13,7.21,13,4.65,13
f:05-nw:025-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",8.71,8,14.22,9,6.02,9,14.58,9,6.40,9
f:01-nw:400-ml:14-0.trace,?u1(!(p)),24.29,3,22.91,3,17,3,104.48,3,98.89,3
f:03-nw:010-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",0.44,6,0.86,6,0.73,6,0.78,6,0.67,6
f:09-nw:050-ml:10-0.trace,"?u1(->(q,?u1(p)))",3.39,5,6.4,5,5.33,5,7.83,5,6.16,5
f:04-nw:400-ml:06-0.trace,?u1(p),7.17,2,6.43,2,5.78,2,16.63,2,16.90,2
f:06-nw:010-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",2.79,9,5.98,13,2.73,13,5.58,13,2.74,13
f:09-nw:200-ml:14-0.trace,"?u1(->(q,?u1(p)))",23.59,5,42.83,5,32.01,5,107.36,5,96.12,5
f:08-nw:100-ml:06-0.trace,"?b1(F(q),?b2(p,q))",5.49,5,9.43,6,7.18,6,7.73,6,6.22,6
f:05-nw:050-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",7.9,8,13.57,9,8.06,9,12.89,9,7.94,9
f:08-nw:400-ml:06-0.trace,"?b1(F(q),?b2(p,q))",21.64,5,34.38,6,25.77,6,53.46,6,47.42,6
f:09-nw:025-ml:14-0.trace,"?u1(->(q,?u1(p)))",3.17,5,5.23,5,3.7,5,5.90,5,4.60,5
